日期,渠道,区域,品类,用户层级,访问量,订单数,收入,退款订单数,退款金额,营销成本
2025-03-28,付费广告,华东,家居,新客,107,3,1034.05,0,0.0,301.75
2024-02-24,付费广告,华南,数码,活跃客,74,3,2214.63,0,0.0,216.35
2024-10-02,内容种草,华南,数码,活跃客,69,2,1249.66,0,0.0,78.17
2025-01-26,付费广告,华东,数码,新客,109,4,2260.9,0,0.0,305.35
2025-01-18,自然搜索,华南,食品,沉睡唤醒,76,2,245.05,0,0.0,32.35
2024-01-19,内容种草,华南,食品,活跃客,66,4,627.5,0,0.0,67.71
2024-09-30,转介绍,华东,家居,沉睡唤醒,66,1,351.02,0,0.0,40.06
2025-01-27,自然搜索,华北,办公,新客,77,2,462.49,0,0.0,31.63
2024-10-31,自然搜索,华南,服饰,活跃客,85,4,1230.11,3,682.56,34.46
2025-03-13,付费广告,华东,家居,活跃客,103,2,926.56,0,0.0,292.88
2024-03-30,转介绍,华北,服饰,高价值客,39,5,2177.33,0,0.0,21.33
2024-08-26,付费广告,华东,家居,活跃客,86,5,1660.54,0,0.0,261.44
2024-10-03,转介绍,华东,办公,活跃客,58,7,1910.07,0,0.0,35.81
2024-10-07,自然搜索,华北,办公,沉睡唤醒,78,0,0.0,0,0.0,32.52
2025-05-23,自然搜索,华东,食品,新客,89,5,674.73,0,0.0,38.01
2024-05-29,付费广告,华东,家居,新客,90,5,1545.84,0,0.0,257.17
2025-03-06,内容种草,华东,服饰,新客,58,2,449.0,0,0.0,65.71
2024-07-27,转介绍,华东,食品,沉睡唤醒,47,3,370.67,0,0.0,29.22
2024-08-02,内容种草,华北,数码,新客,71,2,1161.63,0,0.0,71.8
2024-11-07,转介绍,华南,办公,活跃客,83,3,881.26,0,0.0,48.81
2025-02-04,自然搜索,华东,食品,新客,80,1,108.42,0,0.0,32.02
2025-03-30,自然搜索,华东,食品,活跃客,91,6,961.97,0,0.0,40.33
2024-09-30,付费广告,华东,家居,高价值客,86,5,2738.53,1,408.9,240.34
2024-02-08,自然搜索,华北,家居,沉睡唤醒,72,3,1165.21,0,0.0,31.55
2024-12-19,付费广告,华南,家居,活跃客,138,11,4988.8,0,0.0,424.68
2024-08-26,自然搜索,华东,数码,活跃客,71,5,3854.5,0,0.0,31.43
2024-03-21,付费广告,华南,食品,新客,80,0,0.0,0,0.0,224.05
2024-10-08,付费广告,华北,办公,沉睡唤醒,118,0,0.0,0,0.0,349.59
2025-01-29,付费广告,华东,食品,活跃客,100,8,1106.89,0,0.0,262.22
2025-05-14,付费广告,西南,数码,新客,103,2,1340.43,0,0.0,416.4
2024-01-10,内容种草,华东,家居,新客,56,1,314.65,0,0.0,55.63
2025-04-08,内容种草,华北,家居,活跃客,93,6,2409.45,0,0.0,102.52
2024-10-25,内容种草,西南,服饰,活跃客,63,4,1205.89,0,0.0,70.77
2025-04-12,付费广告,华南,办公,活跃客,86,4,1050.79,0,0.0,340.57
2025-02-01,付费广告,华东,办公,新客,110,6,1348.14,0,0.0,301.13
2025-05-20,付费广告,华北,办公,高价值客,107,3,1239.57,0,0.0,445.6
2024-10-04,自然搜索,华东,家居,高价值客,74,9,5316.4,0,0.0,33.07
2024-10-23,付费广告,西南,家居,高价值客,99,5,3415.63,0,0.0,265.68
2024-09-30,付费广告,华北,家居,高价值客,123,7,4118.83,0,0.0,341.04
2025-03-09,转介绍,华东,数码,活跃客,50,1,715.16,0,0.0,29.06
2025-02-19,自然搜索,西南,家居,沉睡唤醒,85,2,649.61,0,0.0,35.09
2024-06-06,自然搜索,西南,服饰,沉睡唤醒,90,3,708.77,0,0.0,36.14
2024-06-07,转介绍,华南,服饰,活跃客,40,6,1720.06,0,0.0,24.37
2025-04-12,内容种草,华南,食品,新客,101,1,123.39,0,0.0,102.26
2024-03-10,内容种草,华北,食品,高价值客,62,3,574.08,0,0.0,64.75
2024-11-07,内容种草,华东,家居,活跃客,103,8,3866.73,0,0.0,99.53
2025-02-10,内容种草,华东,家居,高价值客,74,6,3430.42,1,432.34,78.85
2025-06-01,自然搜索,华北,数码,新客,81,1,610.07,0,0.0,32.99
2025-06-06,付费广告,西南,家居,新客,126,0,0.0,0,0.0,529.1
2024-04-14,转介绍,华北,数码,活跃客,44,2,1557.92,0,0.0,26.68
2024-07-30,内容种草,华南,家居,新客,65,3,1015.48,0,0.0,68.74
2025-04-18,自然搜索,华东,食品,活跃客,80,5,664.98,0,0.0,36.13
2025-04-14,内容种草,华北,家居,新客,97,3,1072.28,0,0.0,101.65
2024-12-12,付费广告,华南,服饰,新客,116,7,2352.86,0,0.0,355.62
2024-07-05,转介绍,华南,家居,活跃客,56,6,2192.17,0,0.0,32.08
2024-09-08,付费广告,华南,家居,新客,82,5,1894.23,0,0.0,218.16
2025-01-25,付费广告,华东,办公,高价值客,99,7,2798.4,1,293.82,300.51
2024-05-25,转介绍,华东,家居,高价值客,57,3,1582.04,0,0.0,35.21
2024-08-07,转介绍,西南,办公,活跃客,57,7,2017.16,0,0.0,32.02
2025-03-04,自然搜索,华北,服饰,新客,99,5,1185.87,0,0.0,39.14
2024-01-27,转介绍,华东,办公,活跃客,46,4,1283.41,1,295.54,27.44
2024-04-08,付费广告,华南,食品,活跃客,95,3,388.06,0,0.0,259.66
2024-10-05,内容种草,华南,办公,高价值客,79,5,2078.99,0,0.0,87.56
2024-08-08,内容种草,华东,食品,高价值客,72,4,706.08,0,0.0,78.07
2024-10-04,转介绍,华南,家居,高价值客,49,5,3349.13,1,639.03,26.69
2024-11-11,转介绍,华南,服饰,沉睡唤醒,88,7,1822.21,1,222.49,52.9
2024-05-24,内容种草,华南,家居,新客,63,0,0.0,0,0.0,64.93
2024-06-20,自然搜索,西南,服饰,新客,65,2,530.79,0,0.0,28.83
2025-03-22,付费广告,华东,食品,新客,104,3,353.44,0,0.0,298.17
2025-02-23,自然搜索,华东,服饰,沉睡唤醒,88,2,628.0,0,0.0,37.49
2024-10-13,转介绍,华东,食品,高价值客,53,5,1044.26,0,0.0,30.16
2025-05-06,付费广告,华东,数码,活跃客,97,3,1966.81,0,0.0,383.25
2024-06-13,自然搜索,华东,服饰,活跃客,86,7,2556.52,1,350.27,35.44
2025-04-21,付费广告,西南,办公,新客,103,3,567.15,0,0.0,385.48
2025-04-25,付费广告,华东,办公,新客,111,2,441.58,0,0.0,402.99
2025-03-22,付费广告,华东,服饰,新客,98,4,1313.44,0,0.0,258.16
2024-12-22,自然搜索,华北,家居,活跃客,130,8,3754.85,1,446.95,52.6
2024-10-09,转介绍,华东,服饰,高价值客,53,3,1386.86,1,418.48,29.05
2025-01-17,付费广告,华北,家居,新客,94,4,1909.87,0,0.0,278.69
2024-02-12,转介绍,华南,服饰,沉睡唤醒,37,2,474.72,0,0.0,22.48
2024-12-01,自然搜索,西南,服饰,新客,114,4,1019.51,0,0.0,45.01
2024-05-27,自然搜索,华北,食品,新客,82,3,391.41,0,0.0,33.26
2024-12-28,自然搜索,华东,办公,活跃客,133,7,1873.63,0,0.0,59.94
2025-04-12,自然搜索,华东,家居,新客,79,6,1825.34,0,0.0,32.74
2024-07-20,自然搜索,西南,服饰,活跃客,70,2,897.57,0,0.0,28.23
2025-04-30,内容种草,华东,服饰,新客,110,5,1815.35,3,975.01,108.44
2024-03-18,付费广告,华南,数码,活跃客,79,3,2242.1,0,0.0,239.08
2024-11-13,转介绍,华北,食品,活跃客,76,6,869.76,0,0.0,42.58
2024-06-30,自然搜索,华东,办公,活跃客,106,3,751.37,0,0.0,45.43
2024-07-17,内容种草,华北,食品,沉睡唤醒,80,3,375.09,0,0.0,77.68
2024-10-05,自然搜索,华北,服饰,沉睡唤醒,83,4,1228.38,0,0.0,32.92
2024-11-05,内容种草,西南,数码,活跃客,109,9,6541.96,1,523.8,123.49
2024-06-09,自然搜索,华北,家居,沉睡唤醒,65,1,230.61,0,0.0,25.41
2024-01-11,自然搜索,华东,家居,活跃客,69,4,1621.29,0,0.0,30.65
2024-08-01,付费广告,华东,数码,新客,79,0,0.0,0,0.0,207.76
2024-05-20,付费广告,西南,家居,活跃客,83,5,2058.73,0,0.0,250.98
2025-05-03,付费广告,华东,服饰,活跃客,103,5,1747.1,1,335.73,383.77
2025-06-02,内容种草,西南,数码,新客,120,2,1470.4,0,0.0,116.26
2025-03-20,付费广告,华南,服饰,新客,121,7,1926.17,0,0.0,340.01
2025-03-17,付费广告,西南,家居,高价值客,87,7,3538.34,0,0.0,249.73
2025-01-24,自然搜索,华南,服饰,沉睡唤醒,83,0,0.0,0,0.0,32.29
2025-04-18,付费广告,华北,家居,沉睡唤醒,102,0,0.0,0,0.0,393.9
2024-11-15,自然搜索,华东,食品,活跃客,119,6,993.34,0,0.0,47.02
2024-07-30,自然搜索,西南,办公,活跃客,74,2,424.86,0,0.0,31.52
2024-04-14,内容种草,华南,家居,活跃客,63,6,2445.77,1,324.34,70.53
2025-03-26,转介绍,华东,办公,活跃客,63,2,657.08,0,0.0,38.01
2024-09-15,付费广告,华北,家居,新客,118,6,2080.32,0,0.0,337.75
2024-08-15,付费广告,华北,服饰,活跃客,98,3,992.33,0,0.0,292.8
2024-09-24,自然搜索,华东,家居,活跃客,80,5,2042.04,0,0.0,32.76
2024-05-23,付费广告,华东,办公,高价值客,95,5,1840.67,0,0.0,289.16
2024-01-03,付费广告,华南,数码,活跃客,70,8,6297.66,1,775.82,210.2
2024-05-04,自然搜索,华东,家居,高价值客,71,6,2553.16,0,0.0,30.84
2025-02-28,自然搜索,华东,食品,活跃客,90,6,938.3,1,148.81,39.83
2024-08-28,自然搜索,华南,家居,活跃客,53,4,1865.11,0,0.0,22.63
2024-06-22,自然搜索,华东,家居,新客,73,1,312.89,0,0.0,32.07
2025-04-23,付费广告,华南,数码,沉睡唤醒,107,0,0.0,0,0.0,424.97
2024-08-17,自然搜索,华南,服饰,活跃客,80,4,1061.09,0,0.0,34.16
2025-06-08,付费广告,华南,数码,活跃客,108,10,6935.02,0,0.0,429.7
2024-02-01,内容种草,华东,服饰,活跃客,62,1,242.39,0,0.0,68.59
2025-03-19,内容种草,西南,服饰,高价值客,86,4,1670.86,1,318.81,96.3
2025-01-03,内容种草,西南,食品,沉睡唤醒,70,0,0.0,0,0.0,70.54
2024-04-14,自然搜索,华北,家居,高价值客,81,12,5856.04,0,0.0,33.18
2025-05-12,付费广告,华东,食品,高价值客,104,1,224.68,0,0.0,381.39
2025-04-25,付费广告,华南,办公,活跃客,107,4,1084.15,0,0.0,444.03
2024-02-28,转介绍,华东,办公,活跃客,39,2,518.07,0,0.0,24.33
2025-02-21,内容种草,华南,食品,新客,75,3,423.56,0,0.0,78.98
2025-02-26,付费广告,华南,服饰,新客,99,1,268.89,0,0.0,277.62
2025-03-12,内容种草,西南,食品,活跃客,81,2,327.14,0,0.0,82.32
2024-07-24,内容种草,西南,数码,新客,69,6,3658.61,1,511.35,69.28
2024-06-30,自然搜索,华东,数码,活跃客,95,8,4786.33,1,557.5,39.1
2024-07-19,付费广告,华南,家居,新客,94,3,1155.99,0,0.0,268.5
2024-03-17,内容种草,西南,家居,新客,52,3,1121.44,0,0.0,52.11
2025-06-21,内容种草,华东,家居,新客,94,3,1031.22,1,308.39,97.84
2025-04-15,自然搜索,华南,办公,新客,77,8,1253.27,0,0.0,32.81
2025-01-20,自然搜索,华南,服饰,新客,89,4,1307.53,0,0.0,40.3
2024-09-12,内容种草,华南,食品,新客,82,2,220.48,0,0.0,92.25
2024-11-08,转介绍,华东,办公,新客,89,6,1421.6,0,0.0,49.74
2024-05-09,自然搜索,华南,服饰,活跃客,65,6,1718.04,1,283.03,29.35
2024-03-23,自然搜索,华南,食品,高价值客,72,7,1171.55,0,0.0,28.13
2024-04-12,内容种草,华东,数码,活跃客,63,3,2395.88,0,0.0,63.23
2024-10-25,自然搜索,西南,服饰,高价值客,85,10,4187.63,0,0.0,36.15
2024-02-24,转介绍,华东,食品,高价值客,35,2,355.53,0,0.0,21.2
2025-03-23,内容种草,西南,数码,活跃客,78,6,3674.88,2,913.74,76.91
2025-02-16,自然搜索,西南,数码,活跃客,94,5,3724.34,0,0.0,39.69
2025-05-06,内容种草,西南,食品,活跃客,89,11,1651.74,0,0.0,90.17
2024-07-05,转介绍,华北,食品,活跃客,55,2,336.03,0,0.0,31.46
2024-07-06,内容种草,华南,服饰,新客,69,5,1611.29,2,577.69,72.93
2024-10-26,内容种草,华东,服饰,活跃客,68,3,1108.11,1,332.38,76.28
2024-06-25,内容种草,华南,服饰,新客,62,1,245.79,0,0.0,59.95
2025-02-26,内容种草,华南,服饰,高价值客,78,5,1708.49,0,0.0,75.65
2024-10-24,付费广告,华北,办公,活跃客,96,5,1511.21,1,245.88,272.24
2024-08-11,内容种草,华南,数码,沉睡唤醒,64,1,530.7,0,0.0,63.82
2024-07-14,自然搜索,华南,服饰,活跃客,78,4,1212.8,1,293.4,30.35
2024-02-19,内容种草,华南,数码,活跃客,64,4,2980.31,1,687.4,62.65
2024-05-30,付费广告,华北,服饰,新客,73,3,723.27,0,0.0,194.68
2024-09-01,自然搜索,华东,服饰,新客,92,3,769.58,1,193.42,39.24
2024-08-20,内容种草,华东,办公,新客,74,3,836.97,0,0.0,76.99
2024-06-09,内容种草,西南,服饰,新客,68,3,780.12,1,258.9,76.3
2024-12-21,付费广告,华南,数码,沉睡唤醒,123,5,2418.44,1,398.8,342.21
2024-03-03,自然搜索,华东,办公,沉睡唤醒,80,3,838.63,0,0.0,34.2
2024-11-28,自然搜索,华南,办公,活跃客,101,4,990.8,0,0.0,40.08
2025-01-24,转介绍,华东,办公,活跃客,57,2,440.81,0,0.0,33.08
2025-03-10,转介绍,华东,办公,活跃客,57,5,1057.26,0,0.0,31.49
2024-03-20,内容种草,华北,食品,新客,54,5,581.16,0,0.0,55.44
2024-01-01,内容种草,华东,数码,活跃客,52,5,3003.66,0,0.0,57.17
2024-06-29,自然搜索,华北,数码,高价值客,91,6,5814.04,1,737.78,41.26
2025-03-09,付费广告,华北,办公,活跃客,101,5,1538.34,1,244.5,266.5
2024-04-06,转介绍,西南,家居,新客,47,4,1160.67,0,0.0,26.41
2025-03-30,内容种草,西南,办公,新客,79,3,646.2,1,182.99,83.8
2025-04-18,自然搜索,华南,办公,沉睡唤醒,102,4,744.1,0,0.0,42.46
2025-02-22,自然搜索,华东,办公,新客,104,3,719.41,0,0.0,46.93
2024-01-03,自然搜索,华东,数码,新客,68,1,740.33,0,0.0,30.38
2024-10-08,自然搜索,华东,数码,活跃客,81,3,1936.25,1,586.39,31.33
2025-04-06,内容种草,华南,服饰,新客,103,6,1527.25,2,422.3,111.02
2024-07-30,付费广告,华东,食品,活跃客,90,8,1311.81,0,0.0,245.89
2024-02-23,自然搜索,华南,办公,活跃客,75,6,1799.58,1,280.8,30.3
2025-03-27,付费广告,华东,办公,沉睡唤醒,101,4,873.77,0,0.0,300.07
2025-04-20,付费广告,华北,服饰,活跃客,108,4,1219.83,0,0.0,401.48
2025-02-18,内容种草,华南,服饰,活跃客,76,9,3602.13,1,296.33,74.64
2024-02-05,内容种草,华南,食品,沉睡唤醒,66,3,281.99,0,0.0,64.58
2024-03-18,自然搜索,华北,家居,新客,82,3,1169.43,0,0.0,35.0
2025-05-19,付费广告,华南,家居,沉睡唤醒,108,5,1751.73,0,0.0,455.3
2025-04-11,转介绍,华东,数码,活跃客,54,3,1621.66,0,0.0,33.02
2025-04-02,自然搜索,华东,办公,活跃客,82,2,629.72,0,0.0,35.74
2025-01-05,付费广告,华南,服饰,新客,99,5,1389.31,1,230.44,272.92
2025-03-20,自然搜索,华南,办公,活跃客,78,4,1057.61,0,0.0,31.63
2024-11-25,付费广告,华东,数码,新客,141,4,2287.71,0,0.0,421.73
2025-02-19,转介绍,华北,家居,活跃客,61,6,2519.82,1,398.5,33.02
2025-01-14,自然搜索,华南,家居,高价值客,80,8,4398.19,0,0.0,31.77
2025-01-04,转介绍,华北,家居,新客,49,1,311.41,0,0.0,27.56
2024-03-10,付费广告,华北,家居,新客,79,7,2218.05,0,0.0,228.64
2024-10-07,转介绍,华北,食品,新客,50,1,125.86,0,0.0,31.13
2024-05-03,转介绍,华东,家居,活跃客,49,3,1275.96,0,0.0,27.94
2024-12-14,自然搜索,华北,食品,活跃客,115,5,614.47,0,0.0,48.27
2024-03-26,内容种草,华南,服饰,新客,70,3,763.42,0,0.0,75.61
2024-09-16,自然搜索,华北,办公,新客,84,3,715.7,0,0.0,34.29
2025-04-20,付费广告,华东,数码,活跃客,100,2,1632.79,0,0.0,389.66
2024-11-22,付费广告,西南,服饰,活跃客,145,9,2610.73,0,0.0,404.01
2024-09-03,付费广告,西南,食品,活跃客,98,6,1043.49,0,0.0,260.14
2024-01-16,转介绍,西南,数码,高价值客,50,4,3853.54,0,0.0,28.41
2025-05-18,自然搜索,华南,家居,活跃客,99,7,2985.85,0,0.0,41.51
2025-02-09,内容种草,华东,服饰,新客,87,4,1077.33,1,226.41,95.14
2025-06-25,付费广告,华东,服饰,活跃客,120,8,2516.93,1,303.53,474.37
2024-05-11,内容种草,华南,家居,活跃客,79,4,1763.59,1,327.79,80.43
2025-05-07,转介绍,华南,食品,新客,48,3,378.23,0,0.0,29.86
2024-09-10,自然搜索,华北,数码,活跃客,84,6,4968.4,0,0.0,35.61
2024-07-10,内容种草,华东,服饰,沉睡唤醒,49,1,279.32,0,0.0,53.95
2024-06-28,付费广告,华东,办公,沉睡唤醒,86,3,689.25,0,0.0,249.25
2025-01-09,自然搜索,华东,家居,沉睡唤醒,89,3,991.07,0,0.0,40.09
2025-03-04,自然搜索,华东,家居,新客,87,4,1212.81,0,0.0,39.32
2024-08-25,付费广告,西南,数码,高价值客,92,6,5557.11,0,0.0,249.65
2024-01-25,内容种草,华东,数码,活跃客,59,1,669.3,0,0.0,61.03
2024-06-15,转介绍,华南,家居,活跃客,76,6,2520.17,0,0.0,44.6
2025-05-18,转介绍,西南,办公,新客,60,3,736.49,0,0.0,34.87
2024-11-20,内容种草,华东,家居,活跃客,84,3,970.35,0,0.0,82.87
2024-12-16,转介绍,华北,数码,活跃客,83,8,6217.46,0,0.0,50.98
2024-09-15,付费广告,华北,服饰,高价值客,101,6,3026.23,0,0.0,273.85
2024-06-22,付费广告,西南,数码,高价值客,99,9,9022.14,0,0.0,303.14
2024-04-14,自然搜索,华北,服饰,沉睡唤醒,70,2,535.34,0,0.0,29.45
2024-01-30,自然搜索,华北,服饰,高价值客,63,7,3334.34,2,883.2,27.54
2024-07-21,付费广告,华南,服饰,新客,88,1,233.07,0,0.0,268.58
2024-05-30,转介绍,华北,服饰,新客,57,3,807.49,0,0.0,35.2
2024-06-20,付费广告,华南,食品,沉睡唤醒,89,2,200.22,0,0.0,270.75
2024-02-07,转介绍,华北,食品,高价值客,53,9,1821.13,0,0.0,32.29
2024-12-16,付费广告,华南,数码,新客,115,6,3467.21,1,574.39,326.44
2024-08-31,自然搜索,华东,办公,新客,76,1,249.81,0,0.0,32.61
2025-06-21,转介绍,华东,家居,活跃客,63,6,2492.69,0,0.0,36.65
2024-01-23,自然搜索,华南,数码,活跃客,64,4,2829.62,1,597.6,28.8
2025-06-20,付费广告,华南,办公,高价值客,107,6,2057.85,1,261.22,419.96
2024-03-11,付费广告,华北,数码,新客,86,5,3015.25,0,0.0,253.98
2024-04-26,转介绍,华南,办公,新客,41,1,228.3,0,0.0,21.96
2024-01-20,内容种草,华东,数码,新客,70,5,3418.65,0,0.0,78.28
2024-10-10,内容种草,华东,服饰,新客,65,3,616.34,0,0.0,64.96
2025-04-06,内容种草,华东,服饰,新客,90,2,406.71,0,0.0,95.02
2025-03-28,内容种草,华东,服饰,活跃客,65,5,1387.76,1,261.95,69.4
2024-11-01,付费广告,华南,服饰,新客,144,7,1931.16,1,261.12,398.18
2024-01-05,转介绍,华南,家居,新客,45,1,398.41,0,0.0,26.88
2024-08-12,自然搜索,华东,家居,沉睡唤醒,82,4,1514.35,0,0.0,36.4
2024-04-19,付费广告,华东,数码,新客,86,2,1198.34,0,0.0,261.99
2025-01-09,转介绍,华东,家居,新客,59,4,1187.1,0,0.0,34.94
2024-10-03,内容种草,华北,食品,活跃客,82,8,1132.81,0,0.0,87.45
2024-06-10,自然搜索,华东,办公,活跃客,72,3,881.39,0,0.0,29.66
2025-04-10,转介绍,华东,食品,活跃客,54,2,305.63,0,0.0,29.88
2024-05-30,付费广告,华东,服饰,新客,94,2,587.04,1,220.98,265.3
2025-06-12,自然搜索,华南,数码,高价值客,106,6,5780.57,0,0.0,46.82
2024-02-07,内容种草,华东,家居,新客,55,0,0.0,0,0.0,62.06
2025-05-09,内容种草,西南,办公,新客,123,5,1198.32,1,183.37,137.38
2025-04-24,付费广告,西南,数码,新客,101,2,1104.74,0,0.0,373.34
2024-05-04,自然搜索,华东,办公,新客,71,3,707.31,0,0.0,30.49
2024-10-25,自然搜索,华北,数码,活跃客,66,4,2580.5,0,0.0,27.09
2024-12-07,付费广告,华东,服饰,活跃客,123,7,3226.0,1,436.37,367.69
2024-04-20,内容种草,华东,家居,沉睡唤醒,55,1,261.03,0,0.0,58.88
2024-12-19,自然搜索,西南,数码,活跃客,112,5,4209.77,0,0.0,44.26
2024-05-30,转介绍,华东,食品,新客,58,3,333.45,0,0.0,32.32
2025-06-07,内容种草,华东,数码,活跃客,118,12,9350.85,0,0.0,119.15
2024-09-05,内容种草,华北,办公,活跃客,70,5,1256.99,0,0.0,71.89
2024-08-09,付费广告,华北,办公,新客,82,4,911.87,0,0.0,217.57
2025-01-14,付费广告,华北,数码,沉睡唤醒,106,2,1202.42,0,0.0,325.52
2024-12-29,付费广告,西南,服饰,活跃客,109,9,3219.06,1,309.87,308.82
2025-03-20,自然搜索,华北,办公,活跃客,92,4,1171.8,0,0.0,37.69
2024-02-07,内容种草,华东,办公,新客,63,2,501.16,0,0.0,68.79
2024-05-26,自然搜索,华东,食品,新客,79,2,220.2,0,0.0,31.89
2024-05-17,转介绍,西南,办公,新客,51,2,469.65,0,0.0,30.89
2024-07-28,付费广告,华南,数码,沉睡唤醒,101,2,1312.9,0,0.0,267.25
2025-04-30,转介绍,华北,家居,新客,53,1,305.18,0,0.0,28.99
2024-06-15,付费广告,华北,服饰,活跃客,95,3,989.78,2,533.89,290.49
2025-01-18,自然搜索,华东,家居,新客,63,3,749.25,0,0.0,24.34
2025-06-05,付费广告,华北,办公,新客,106,5,1148.98,0,0.0,439.33
2024-02-26,自然搜索,华东,食品,活跃客,58,6,683.21,0,0.0,24.69
2024-01-29,内容种草,华东,服饰,高价值客,49,4,1823.52,2,776.35,50.7
2024-07-31,内容种草,华东,家居,沉睡唤醒,51,2,694.48,0,0.0,50.36
